"HealthTopicCode","MeasureLabel","MeasurePopulation","MeasureCode","MeasureId","MeasureType","TimeUnit","GeoLevel","TimeCode","GeoCode","XValue","XLabel","YValue","YLabel","ZValue","N","NMissing","NLowerResolution"
"ZIKV","Distribution by age - AER Only (not visible in Public Atlas)","All cases","ALL.AGE.PROPORTION",243909,"D","Y",2,"2015","SE",1,"0-4",NA,NA,NA,1,1,0
"ZIKV","Distribution by age - AER Only (not visible in Public Atlas)","All cases","ALL.AGE.PROPORTION",243909,"D","Y",2,"2015","SE",2,"5-14",NA,NA,NA,1,1,0
"ZIKV","Distribution by age - AER Only (not visible in Public Atlas)","All cases","ALL.AGE.PROPORTION",243909,"D","Y",2,"2015","SE",3,"15-24",NA,NA,NA,1,1,0
"ZIKV","Distribution by age - AER Only (not visible in Public Atlas)","All cases","ALL.AGE.PROPORTION",243909,"D","Y",2,"2015","SE",4,"25-44",NA,NA,NA,1,1,0
"ZIKV","Distribution by age - AER Only (not visible in Public Atlas)","All cases","ALL.AGE.PROPORTION",243909,"D","Y",2,"2015","SE",5,"45-64",NA,NA,NA,1,1,0
"ZIKV","Distribution by age - AER Only (not visible in Public Atlas)","All cases","ALL.AGE.PROPORTION",243909,"D","Y",2,"2015","SE",6,"65+",NA,NA,NA,1,1,0
"ZIKV","Distribution by age - AER Only (not visible in Public Atlas)","All cases","ALL.AGE.PROPORTION",243909,"D","Y",2,"2016","SE",1,"0-4",NA,NA,NA,34,34,0
"ZIKV","Distribution by age - AER Only (not visible in Public Atlas)","All cases","ALL.AGE.PROPORTION",243909,"D","Y",2,"2016","SE",2,"5-14",NA,NA,NA,34,34,0
"ZIKV","Distribution by age - AER Only (not visible in Public Atlas)","All cases","ALL.AGE.PROPORTION",243909,"D","Y",2,"2016","SE",3,"15-24",NA,NA,NA,34,34,0
"ZIKV","Distribution by age - AER Only (not visible in Public Atlas)","All cases","ALL.AGE.PROPORTION",243909,"D","Y",2,"2016","SE",4,"25-44",NA,NA,NA,34,34,0
"ZIKV","Distribution by age - AER Only (not visible in Public Atlas)","All cases","ALL.AGE.PROPORTION",243909,"D","Y",2,"2016","SE",5,"45-64",NA,NA,NA,34,34,0
"ZIKV","Distribution by age - AER Only (not visible in Public Atlas)","All cases","ALL.AGE.PROPORTION",243909,"D","Y",2,"2016","SE",6,"65+",NA,NA,NA,34,34,0
"ZIKV","Distribution by age - AER Only (not visible in Public Atlas)","All cases","ALL.AGE.PROPORTION",243909,"D","Y",2,"2015","UK",1,"0-4",NA,NA,NA,3,3,0
"ZIKV","Distribution by age - AER Only (not visible in Public Atlas)","All cases","ALL.AGE.PROPORTION",243909,"D","Y",2,"2015","UK",2,"5-14",NA,NA,NA,3,3,0
"ZIKV","Distribution by age - AER Only (not visible in Public Atlas)","All cases","ALL.AGE.PROPORTION",243909,"D","Y",2,"2015","UK",3,"15-24",NA,NA,NA,3,3,0
"ZIKV","Distribution by age - AER Only (not visible in Public Atlas)","All cases","ALL.AGE.PROPORTION",243909,"D","Y",2,"2015","UK",4,"25-44",NA,NA,NA,3,3,0
"ZIKV","Distribution by age - AER Only (not visible in Public Atlas)","All cases","ALL.AGE.PROPORTION",243909,"D","Y",2,"2015","UK",5,"45-64",NA,NA,NA,3,3,0
"ZIKV","Distribution by age - AER Only (not visible in Public Atlas)","All cases","ALL.AGE.PROPORTION",243909,"D","Y",2,"2015","UK",6,"65+",NA,NA,NA,3,3,0
